,genre
1314,sad lo-fi
1315,aussie drill
1316,rap chileno
1317,melodic metalcore
1318,metalcore
1319,uk metalcore
1320,canadian old school hip hop
1321,peruvian rock
1322,violin
1323,italian progressive rock
1324,italian post-hardcore
1325,beat italiano
1326,british indie rock
1327,central asian hip hop
1328,kazakh hip hop
1329,kazakh pop
1330,russian gangster rap
1331,deconstructed club
1332,nordic folk metal
1333,scorecore
1334,korean mask singer
1335,chinese soundtrack
1336,danish electropop
1337,anti-folk
1338,lo-fi
1339,new jersey indie
1340,noise pop
1341,glasgow indie
1342,scottish indie rock
1343,turkish reggae
1344,scam rap
1345,uk tech house
1346,boston punk
1347,boston rock
1348,skate punk
1349,banjo
1350,irish banjo
1351,irish country
1352,portuguese indie rock
1353,brooklyn drill
1354,italian electronica
1355,neomelodici
1356,emo trap en espanol
1357,rap underground argentino
1358,german metal
1359,industrial
1360,industrial metal
1361,industrial rock
1362,neue deutsche harte
1363,austrian indie
1364,boom bap brasileiro
1365,rap uruguayo
1366,samba de roda
1367,tropicalia
1368,slovak pop
1369,perth indie
1370,trap metal italiana
1371,fidget house
1372,british alternative rock
1373,minnesota hip hop
1374,chihuahua indie
1375,indie triste
1376,mexican indie
1377,circuit
1378,guaracha
1379,nasheed
1380,nasyid
1381,cumbia santafesina
1382,progressive trance
1383,uplifting trance
1384,maltese pop
1385,musica baiana
1386,double drumming
1387,icelandic electronic
1388,icelandic post-punk
1389,icelandic punk
1390,australian singer-songwriter
1391,russian dance pop
1392,greek indie
1393,hip hop quebecois
1394,indie quebecois
1395,electronica argentina
1396,christian alternative rock
1397,christian music
1398,worship
1399,mambo chileno
1400,terrorcore
1401,malang indie
1402,strut
1403,danish post-punk
1404,bangladeshi hip hop
1405,country rap
1406,argentine reggae
1407,chanson virale
1408,rap lyonnais
1409,trap carioca
1410,belgian singer-songwriter
1411,ghent indie
1412,rap mineiro
1413,indonesian lo-fi pop
1414,uk house
1415,classic peruvian pop
1416,musica afroperuana
1417,musica criolla
1418,k-indie
1419,rave funk
1420,malian blues
1421,wassoulou
1422,world
1423,kids hip hop
1424,washington indie
1425,gospel r&b
1426,cumbia peruana
1427,peruvian indie
1428,reggae peruano
1429,tecnobrega
1430,progressive metal
1431,swedish underground rap
1432,r&b argentino
1433,merida indie
1434,dutch drill
1435,taiwan rock
1436,bomba
1437,estonian hip hop
1438,big beat
1439,barnmusik
1440,garage house
1441,antilliaanse rap
1442,birmingham metal
1443,north east england indie
1444,hamburg indie
1445,boom bap espanol
1446,malaysian tamil pop
1447,bulgarian hip hop
1448,turkce remix
1449,morna
1450,drill dominicano
1451,afghan rap
1452,finnish folk
1453,canzone d'autore
1454,acoustic opm
1455,polish ambient
1456,norwegian choir
1457,hong kong hip hop
1458,desi hip hop
1459,pakistani hip hop
1460,punjabi hip hop
1461,punjabi pop
1462,vlaamse kinderliedje
1463,pittsburgh indie
1464,latintronica
1465,greek hip hop
1466,smooth saxophone
1467,rhode island rap
1468,mexican classic rock
1469,german house
1470,ska chileno
1471,musica andina
1472,musica andina chilena
1473,musica nublensina
1474,czech hip hop
1475,czsk hip hop
1476,trap pesado
1477,chill baile
1478,chinese viral pop
1479,liedermacher
1480,german country
1481,vogue
1482,finnish jazz
1483,piseiro
1484,musica costarricense
1485,magyar mulatos
1486,turkce trap metal
1487,samba moderno
1488,jewish pop
1489,cincinnati rap
1490,folclor colombiano
1491,musica andina colombiana
1492,adoracao
1493,musica paranaense
1494,rap nacional antigo
1495,argentine alternative rock
1496,bedroom soul
1497,austrian hip hop
1498,carnaval limburg
1499,lo-fi beats
1500,lo-fi chill
1501,deep underground hip hop
1502,muzica crestina
1503,rap boricua
1504,dutch idol pop
1505,english indie rock
1506,kent indie
1507,new york drill
1508,indie garage rock
1509,orlando indie
1510,african gospel
1511,gothic metal
1512,gothic symphonic metal
1513,opera metal
1514,power metal
1515,indie rockism
1516,bergamo indie
1517,musica etnica
1518,bubblegrunge
1519,australian psych
1520,neo-psychedelic
1521,uae indie
1522,deep breakcore
1523,cyber metal
1524,swedish folk pop
1525,korean ost
1526,groove metal
1527,huzunlu sarkilar
1528,musica madeirense
1529,bergen indie
1530,chillwave
1531,psychedelic soul
1532,reggae maghreb
1533,minneapolis sound
1534,beats
1535,tecnobanda
1536,copla
1537,cante flamenco
1538,popping
1539,pop folk
1540,world worship
1541,icelandic pop
1542,sunnlensk tonlist
1543,relaxative
1544,vintage french electronic
1545,wave
1546,dub
1547,uk dub
1548,taiwan graduation song
1549,campursari
1550,ghanaian alternative
1551,vintage norwegian pop
1552,norwegian classical
1553,eventyr
1554,choral
1555,icelandic choir
1556,early modern classical
1557,swedish classical
1558,classical era
1559,danish classical
1560,early romantic era
1561,hamburg electronic
1562,transpop
1563,jawaiian
1564,roda de samba
1565,indie curitibano
1566,belarusian indie
1567,indonesian edm
1568,dream trance
1569,bisaya rap
1570,dalarna indie
1571,swedish garage rock
1572,alberta hip hop
1573,tallava
1574,indonesian emo
1575,tin pan alley
1576,eau claire indie
1577,classic greek pop
1578,indonesian emo rap
1579,rap underground mexicano
1580,belgian new wave
1581,pinoy idol pop
1582,tamil pop
1583,vintage chinese pop
1584,lo-fi cover
1585,lo-fi product
1586,swedish indie folk
1587,emo trap italiana
1588,rap baixada fluminense
1589,modern indie pop
